person_id;household_id;age;employed;sex;has_driving_license;subscriptions_ga;subscriptions_halbtax;subscriptions_verbund;subscriptions_strecke;subscriptions_gleis7;subscriptions_junior;subscriptions_other;subscriptions_ga_class;subscriptions_verbund_class;subscriptions_strecke_class;statpop_person_id;mz_person_id;mz_head_id;canton_id
202340003928094;202302470564231;31;True;0;True;False;True;False;False;False;False;False;False;False;False;202340003928094;401884;412251;1
202340009125182;202302470564231;54;True;0;True;False;True;False;False;False;False;False;False;False;False;202340009125182;135299;412251;1
202340008385588;202302470564231;23;True;0;True;False;True;False;False;False;False;False;False;False;False;202340008385588;262315;412251;1
202340001820017;202302612308647;47;True;0;True;False;False;True;False;False;False;False;False;False;False;202340001820017;321181;412251;1
202340007251693;202302610893700;47;True;0;True;False;False;False;False;False;False;False;False;False;False;202340007251693;145508;412251;1
202340010017713;202303510618639;51;True;0;True;False;False;False;False;False;False;False;False;False;False;202340010017713;240745;252523;2
202340008586182;202303510618639;39;True;1;True;True;False;False;False;False;False;False;False;False;False;202340008586182;351447;252523;2
202340006755311;202303510618639;17;True;0;False;False;True;False;False;False;False;False;False;False;False;202340006755311;227212;252523;2
202340010818830;202303510618639;6;False;1;False;False;False;False;False;False;False;False;False;False;False;202340010818830;303130;252523;2
202340004502266;202303510618639;13;False;0;False;False;False;False;False;False;False;False;False;False;False;202340004502266;327410;252523;2
202340009787826;202302611376388;51;True;1;True;False;False;True;False;False;False;False;False;False;False;202340009787826;156214;252523;1
202340008624979;202302611376388;52;True;0;True;False;False;False;False;False;True;False;False;False;False;202340008624979;465786;252523;1
202340005658216;202302611376388;37;True;1;True;False;False;False;False;False;False;False;False;False;False;202340005658216;272993;252523;1
202340006156557;202302611376388;4;False;1;False;;;;;;;;;;;202340006156557;-1;252523;1
202340008778560;202302611376388;51;True;0;True;False;False;False;False;False;False;False;False;False;False;202340008778560;145582;252523;1
202340002829382;202302611376388;18;True;0;False;False;True;False;False;False;False;False;False;False;False;202340002829382;479036;252523;1
202340009827124;202327622362273;4;False;1;False;;;;;;;;;;;202340009827124;-1;252523;13
202340009540250;202327622362273;11;False;0;False;False;False;False;False;False;False;False;False;False;False;202340009540250;219892;252523;13
202340004220536;202327622362273;51;True;0;True;False;False;False;False;False;False;False;False;False;False;202340004220536;260270;252523;13
202340008434591;202327622362273;7;False;1;False;False;False;False;False;False;False;False;False;False;False;202340008434591;303130;252523;13
202340004812326;202327622362273;42;True;1;True;False;False;False;True;False;False;False;False;False;False;202340004812326;129791;252523;13
202340004448418;202302612727351;4;False;0;False;;;;;;;;;;;202340004448418;-1;252523;1
202340009997306;202302612727351;46;True;0;True;False;True;False;False;False;False;False;False;False;False;202340009997306;211349;252523;1
